catalogue_index	tf_symbol	present_in_rna	exclusion_reason	reference_name	reference_version
284	FOXR1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
285	FOXR2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
286	FOXS1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
287	GABPA	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
291	GATA4	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
292	GATA5	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
293	GATA6	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
294	GATAD2A	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
295	GATAD2B	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
296	GBX1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
297	GBX2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
298	GCM1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
299	GCM2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
300	GFI1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
301	GFI1B	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
302	GLI1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
303	GLI2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
304	GLI3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
305	GLI4	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
307	GLIS2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
309	GLMP	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
310	GLYR1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
311	GMEB1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
312	GMEB2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
