tf_symbol	tf_symbol_original	catalogue_index	reference_name	reference_version
FOXJ1	FOXJ1	263	Lambert_human_TFs	v1.01
FOXJ2	FOXJ2	264	Lambert_human_TFs	v1.01
FOXJ3	FOXJ3	265	Lambert_human_TFs	v1.01
FOXK1	FOXK1	266	Lambert_human_TFs	v1.01
FOXK2	FOXK2	267	Lambert_human_TFs	v1.01
FOXL1	FOXL1	268	Lambert_human_TFs	v1.01
FOXL2	FOXL2	269	Lambert_human_TFs	v1.01
FOXM1	FOXM1	270	Lambert_human_TFs	v1.01
FOXN1	FOXN1	271	Lambert_human_TFs	v1.01
FOXN2	FOXN2	272	Lambert_human_TFs	v1.01
FOXN3	FOXN3	273	Lambert_human_TFs	v1.01
FOXN4	FOXN4	274	Lambert_human_TFs	v1.01
FOXO1	FOXO1	275	Lambert_human_TFs	v1.01
FOXO3	FOXO3	276	Lambert_human_TFs	v1.01
FOXO4	FOXO4	277	Lambert_human_TFs	v1.01
FOXO6	FOXO6	278	Lambert_human_TFs	v1.01
FOXP1	FOXP1	279	Lambert_human_TFs	v1.01
FOXP2	FOXP2	280	Lambert_human_TFs	v1.01
FOXP3	FOXP3	281	Lambert_human_TFs	v1.01
FOXP4	FOXP4	282	Lambert_human_TFs	v1.01
FOXQ1	FOXQ1	283	Lambert_human_TFs	v1.01
FOXR1	FOXR1	284	Lambert_human_TFs	v1.01
FOXR2	FOXR2	285	Lambert_human_TFs	v1.01
FOXS1	FOXS1	286	Lambert_human_TFs	v1.01
GABPA	GABPA	287	Lambert_human_TFs	v1.01
GATA1	GATA1	288	Lambert_human_TFs	v1.01
GATA2	GATA2	289	Lambert_human_TFs	v1.01
GATA3	GATA3	290	Lambert_human_TFs	v1.01
GATA4	GATA4	291	Lambert_human_TFs	v1.01
GATA5	GATA5	292	Lambert_human_TFs	v1.01
GATA6	GATA6	293	Lambert_human_TFs	v1.01
GATAD2A	GATAD2A	294	Lambert_human_TFs	v1.01
GATAD2B	GATAD2B	295	Lambert_human_TFs	v1.01
GBX1	GBX1	296	Lambert_human_TFs	v1.01
GBX2	GBX2	297	Lambert_human_TFs	v1.01
GCM1	GCM1	298	Lambert_human_TFs	v1.01
GCM2	GCM2	299	Lambert_human_TFs	v1.01
